start time,end time,FPS,frames,Time(S),max time(ms),waiting time(S),wait times,A,B,C,D,score,TX,app,Surface
254203.372280,254204.372942,30,30,1.001,67.948,0,0,0,1,0,27,69.77,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254204.372942,254205.373768,30,30,1.001,33.44,0,0,0,0,0,28,70,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254205.373768,254206.407144,30,31,1.033,50.043,0,0,0,1,0,29,69.77,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254206.407144,254207.407941,29,29,1.001,50.021,0,0,0,1,1,26,68.66,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254207.407941,254208.408596,30,30,1.001,33.882,0,0,0,0,0,30,70,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254208.408596,254209.409219,30,30,1.001,33.511,0,0,0,0,0,29,70,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254209.409219,254210.426407,28.5,29,1.017,83.381,0,0,0,4,0,27,67.53,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254210.426407,254211.427049,30,30,1.001,33.795,0,0,0,0,0,30,70,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254211.427049,254212.460999,29,30,1.034,66.859,0,0,0,3,1,28,68.2,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254212.460999,254213.494922,30,31,1.034,66.699,0,0,0,11,1,23,67.42,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254213.494922,254214.478809,30.5,30,0.984,50.058,0,0,0,2,0,28,70.03,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254214.478809,254215.495889,28.5,29,1.017,66.714,0,0,0,2,0,26,68.02,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254215.495889,254216.496534,31,31,1.001,50.067,0,0,0,2,0,29,70.55,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254216.496534,254217.514067,29.5,30,1.018,83.329,0,0,0,3,0,27,68.8,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254217.514067,254218.448003,30,28,0.934,33.769,0,0,0,0,0,28,70,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254218.448003,254219.548755,28.2,31,1.101,83.353,0,0,0,9,1,25,66.07,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254219.548755,254220.566030,30.5,31,1.017,49.95,0,0,0,0,1,29,70.4,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254220.566030,254222.583846,24.8,50,2.018,300.123,0,0,2,5,0,43,50.36,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254222.583846,254223.601007,30.5,31,1.017,50.368,0,0,0,2,0,26,70.05,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254223.601007,254224.635268,27.1,28,1.034,116.947,0,0,1,4,0,26,62.84,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254224.635268,254225.635628,31,31,1,50.092,0,0,0,4,2,26,69.9,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254225.635628,254226.819661,21.1,25,1.184,250.15,0,0,3,4,1,21,46.66,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254226.819661,254228.837603,19.8,40,2.018,300.158,0,0,5,8,0,36,43.81,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254228.837603,254229.854860,29.5,30,1.017,66.688,0,0,0,2,1,28,68.93,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254229.854860,254230.855983,27,27,1.001,66.985,0,0,0,7,0,20,65.19,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254230.855983,254231.873519,28.5,29,1.018,100.019,0,0,1,3,0,24,67.43,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254169.906704,254233.207968,19.5,25,1.284,450.192,62.017,3,2,4,0,14,42.02,1,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254141.077977,254233.858522,25.3,27,1.067,166.838,91.713,3,4,3,0,15,55.03,1,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
